area,bedrooms,bathrooms,stories,parking,age,price
4996,1,1,3,0,19,23549348
3604,1,3,2,2,7,18558164
3235,3,4,3,1,28,16657217
1454,4,4,1,0,7,8632196
3946,2,4,2,0,25,18864386
1545,1,1,1,0,29,6759611
2193,5,1,2,3,16,12768555
3936,3,2,3,2,19,19075389
1062,2,3,2,0,19,5280706
2985,3,2,2,0,22,14870255
3854,2,3,1,0,15,18189471
725,2,1,1,2,13,3927102
1459,1,4,2,3,29,8196804
3567,3,2,3,1,10,19082619
1315,3,4,3,3,6,9252149
3620,5,2,1,0,15,18642620
516,5,1,3,3,12,5514877
1743,1,1,1,3,26,7921398
2705,1,1,3,1,14,13152799
3024,4,2,2,2,23,16081249
1569,5,3,1,2,15,9808538
3944,2,2,1,3,26,17945361
3065,3,3,2,3,20,16977505
1560,1,2,1,2,22,8114711
2827,3,2,3,2,23,14064681
3920,3,1,3,1,30,18687816
801,4,4,1,0,8,7119851
4776,5,4,3,3,2,26696522
1106,1,3,1,2,18,6328007
3670,3,4,2,3,19,19174887
1199,1,2,1,3,4,7979152
1639,2,2,2,2,9,9450929
690,4,1,3,1,16,5047520
2800,2,1,2,3,14,14555538
1480,1,4,3,1,30,7838029
3475,1,3,1,2,22,16712399
1684,5,4,3,0,24,10759575
3827,3,4,1,0,7,20084888
3894,3,4,1,3,14,19803772
627,2,4,2,2,30,3605947
2565,4,2,2,1,20,14339566
2316,3,3,2,3,29,12391792
1069,5,2,2,2,13,8290924
2395,2,3,3,2,19,11912620
3233,2,1,3,1,27,15776842
4363,5,4,3,3,6,23982757
4514,4,2,1,2,20,21919891
3401,5,3,3,2,22,18472813
2186,4,1,3,2,11,12003010
3509,5,1,3,1,16,18439634
654,5,4,2,3,16,6684831
3037,1,3,3,3,9,16491698
1909,2,2,1,3,29,10142172
4557,5,4,2,3,28,24397258
1284,5,2,1,0,18,6855743
3675,3,1,3,0,13,17804917
4841,2,2,2,3,10,22737057
3306,3,2,1,1,1,16705229
1037,2,4,3,0,17,6456741
2341,3,2,1,2,6,13069781
2955,5,4,1,0,11,16332533
1024,5,1,1,2,25,6196965
3450,1,4,3,3,1,18700882
4631,3,4,3,0,26,22054845
4615,4,3,1,1,19,22583203
2868,1,2,2,0,17,13369222
4347,3,1,2,0,5,21385299
4995,3,4,3,0,23,24750977
3201,1,1,3,3,9,16749825
1471,5,3,3,1,19,10258668
1666,3,2,3,0,14,9142345
3274,5,4,3,1,4,18962335
2482,1,2,2,3,19,12149280
1353,5,3,3,2,2,10131424
4646,2,3,1,0,4,23023258
4236,4,1,1,1,29,19117110
4269,3,4,2,1,24,21760857
1074,4,1,1,3,7,8234775
3761,5,3,2,0,7,20204580
1648,3,2,2,2,7,9796318
2215,5,1,1,1,11,12471022
4354,2,1,3,0,23,20837693
2991,1,2,1,2,22,13847353
3160,3,1,1,1,7,16431973
3624,2,2,2,1,10,18282247
3551,2,4,1,2,13,19355306
504,3,2,2,2,7,4628669
1376,5,4,3,3,28,8604000
1491,2,2,3,0,29,6748030
4642,4,3,3,0,23,23229964
4864,2,3,1,3,27,23656941
4965,5,4,2,1,9,25851245
1135,5,4,3,2,6,9422034
2193,4,3,2,2,27,12435921
2182,2,4,2,2,16,11616384
619,5,2,3,1,3,6194865
1330,3,2,3,2,28,7021137
4175,1,3,2,2,12,21076614
1869,1,1,3,3,3,11106336
1240,1,2,2,1,4,6400293
616,2,4,2,0,25,4125907
3338,4,1,3,3,21,18009629
1650,5,1,1,3,3,10849348
2431,3,2,3,0,30,11844880
1512,3,2,1,3,17,7935919
2164,2,1,2,1,5,11969472
1581,1,1,2,2,30,7304758
1012,2,3,1,1,23,4932507
3349,4,4,2,0,30,17715446
1059,4,3,1,0,23,5800298
4172,5,2,1,3,22,21193757
3843,5,3,2,1,21,19986193
4570,4,3,1,1,1,24599191
1970,4,3,3,0,30,10684477
1080,4,3,3,1,22,7297679
2794,2,4,2,0,10,14141461
3647,4,4,2,1,27,18486301
4749,3,1,1,1,13,22376852
2179,1,2,1,1,29,9407889
4006,4,3,1,0,4,20910142
3244,1,1,1,3,5,14695912
3856,2,1,3,1,9,18281885
4545,1,1,3,0,7,21561991
1743,2,4,2,0,13,9989127
3618,3,3,1,1,23,17729284
2641,2,3,1,1,2,14134103
3559,2,2,2,3,11,17845942
3459,5,3,1,0,15,18281248
2765,4,3,1,0,27,14274571
2979,4,1,1,2,29,14784067
2135,3,2,1,0,22,10353021
2257,3,3,1,3,16,12924047
4952,4,4,2,2,0,26422554
2570,5,3,1,2,22,14881107
3349,4,1,2,2,30,17146936
3751,5,4,1,1,30,18588137
4230,3,1,3,1,9,20740486
2989,1,3,3,0,24,14787274
2131,3,4,3,2,22,11407054
3316,3,2,3,3,9,18477088
1515,2,2,2,1,20,7825559
1848,2,4,2,3,23,10678517
3587,2,4,1,3,1,19118305
3339,2,1,3,1,8,16069305
835,5,4,2,1,21,7460272
1395,4,1,1,1,12,9572862
4046,1,3,1,1,24,18559496
1351,3,1,2,2,15,7653321
2187,5,4,3,2,17,12341950
2431,1,4,1,2,18,13085251
4246,5,3,3,2,11,23367883
2927,5,4,3,0,7,16319808
2068,3,4,3,2,16,11253557
4500,4,2,1,1,14,21435384
3238,2,2,3,3,9,17288585
3998,4,3,1,2,14,21053496
4413,3,1,3,0,14,21076833
1566,3,2,1,1,30,8126630
4880,3,1,3,3,22,23819439
2944,1,4,2,3,6,15624365
4607,4,2,3,2,12,24166598
3873,4,3,3,3,16,20086032
4469,5,3,1,2,8,24154270
3046,5,3,1,2,7,16867739
1253,5,2,3,1,19,9364268
2582,3,1,2,1,25,12121347
3274,4,4,2,0,26,16827214
3396,3,1,1,1,20,16341294
4685,1,1,2,1,17,21653659
1275,5,4,3,2,12,10082914
2125,3,4,1,1,15,11274659
3569,3,2,3,2,8,18761844
917,1,2,1,2,30,4305566
614,2,2,1,1,11,3924131
1116,4,2,1,0,11,7369029
4474,2,2,1,0,5,21034815
3767,5,4,2,3,18,20488273
1325,3,1,3,3,27,7090908
2016,1,2,3,1,6,10660285
3646,1,2,3,0,24,17710518
912,4,1,1,2,2,7487228
1228,2,2,2,3,15,7976208
3848,4,1,3,2,17,19409871
3308,3,1,2,3,15,17254809
1175,4,4,1,1,22,7763681
3965,1,3,3,0,6,19785295
3004,1,4,2,3,3,16204319
3467,5,3,1,0,26,18600709
3286,5,3,2,2,24,18309919
1622,3,3,3,1,29,9406448
4579,2,2,3,0,7,22485350
2071,4,4,1,1,12,12309280
2643,3,3,1,0,12,14148783
2187,5,1,1,2,16,11910696
4632,4,2,2,2,16,23793158
4351,5,4,2,1,4,23228877
3940,4,3,2,2,5,21360922
4266,2,1,1,3,18,19102142
2826,3,4,3,0,12,15281691
3414,4,4,3,2,24,19391839
4452,1,2,2,3,27,21257096
1095,1,4,2,1,25,6850234
1228,4,2,3,3,13,8267346
1865,4,3,3,1,30,10574386
4992,4,2,2,1,21,25129996
1198,1,1,2,0,3,6842547
895,1,2,3,0,27,4696783
4671,4,1,1,3,6,24444791
4860,5,2,2,0,7,24414773
3002,5,4,3,0,24,16496881
2319,2,3,3,0,12,11598457
1217,3,1,3,3,26,6488947
3282,5,2,3,2,5,19091093
4077,1,2,1,0,30,17637825
643,5,2,3,0,5,6686262
3640,2,4,2,3,23,19284243
4991,2,4,1,2,27,23795531
3438,3,1,3,0,20,17080932
4136,5,1,1,1,29,20418656
3722,1,4,2,3,2,18918252
1667,1,1,3,0,27,7258274
3116,4,3,2,0,2,16760169
1562,1,3,3,1,12,8530638
2656,3,4,3,1,21,14835055
3482,3,1,3,3,1,18306402
3794,1,2,3,3,15,18670423
1656,1,3,3,1,21,8205769
1232,4,4,1,3,28,8607211
4830,1,1,3,1,5,22917445
1453,4,4,3,0,7,10864990
3039,4,2,1,1,22,15425965
3824,1,3,1,1,7,18049500
3801,2,4,1,2,29,18333987
2042,2,4,1,1,24,10067612
1691,4,4,1,1,5,11259175
3493,1,2,1,2,13,16632819
3181,2,4,3,3,2,17876105
1717,1,2,3,2,9,9306823
2040,1,2,2,0,2,10442329
3736,1,2,3,2,26,17155189
2886,5,3,3,0,11,16850111
4219,1,3,1,3,16,20308923
1888,5,4,1,2,26,11168655
2356,4,4,3,2,30,13162893
1865,2,3,2,3,28,9503069
999,2,1,1,0,30,4189824
2180,2,3,3,2,4,12752815
1010,2,2,3,0,29,4782932
4812,2,3,2,2,19,22974324
1824,2,2,2,1,24,9857142
1655,2,4,1,2,30,8526122
2327,4,1,2,3,8,12945720
3641,1,4,3,3,30,17202564
3986,3,2,3,0,29,19567339
2310,5,2,2,2,20,12577037
3423,3,2,2,0,25,16570854
2714,3,1,2,0,19,12513907
4686,1,3,2,1,6,23346086
1213,1,4,1,1,30,6676928
4102,1,4,2,3,21,20436260
4634,2,3,1,0,3,22120760
4022,4,4,3,3,12,22348381
4768,2,1,2,2,12,22492326
1743,4,4,1,0,30,9058014
4209,4,2,2,0,9,21253769
1581,3,3,3,2,17,9487816
955,3,1,3,2,16,5974976
1394,4,3,3,3,19,10004837
1884,4,1,2,3,19,11628913
2458,2,2,2,2,12,12176432
3572,2,3,1,3,16,17589584
2496,3,4,3,2,21,14008374
4785,1,1,2,0,3,22473142
1004,4,3,3,0,0,8317699
1714,2,4,3,1,0,11400993
2031,3,3,1,0,14,11394183
3940,2,3,1,2,12,19934867
1323,4,3,1,3,16,9543048
1428,4,1,1,1,23,6946526
633,5,4,3,3,25,7153554
2605,1,2,1,2,7,12891004
4127,5,1,1,0,17,20879063
2352,3,1,1,1,26,10769167
4675,2,1,1,2,12,21783252
3433,3,2,3,1,22,17549559
3784,4,4,1,1,13,18978635
4798,5,4,3,0,7,26100721
3311,5,4,2,2,7,19654482
1750,5,3,3,3,26,11123892
4012,3,3,3,1,25,20079881
1756,4,3,1,1,14,9995182
3876,2,2,2,3,26,18989225
3986,2,3,2,2,12,20260833
4084,3,2,2,1,6,20317247
1896,5,4,2,1,4,12446260
4137,1,3,3,1,16,20086832
3830,3,3,2,2,27,18813599
3203,3,1,3,2,24,15222044
970,4,2,3,3,28,6964510
1853,2,4,3,2,15,10801745
3283,3,1,2,2,22,16131182
3331,3,1,1,0,1,16595367
857,5,4,1,3,21,7379136
3519,5,1,2,1,17,18279848
1167,1,2,1,2,30,5967892
4968,4,2,1,1,16,24646299
1645,1,3,3,1,29,8136158
4685,5,1,3,0,6,23732642
4219,2,3,2,2,12,21568476
3245,5,1,2,3,17,17166212
1039,4,2,1,2,28,6159641
3279,5,2,3,1,13,17834514
4636,4,2,2,3,29,22606196
4275,4,1,2,2,17,21235231
3008,4,2,2,1,12,17019104
3279,4,1,2,1,10,16511589
1424,4,3,2,0,20,8250748
3456,2,1,2,0,29,16399162
2081,1,3,1,0,20,9827098
3824,3,1,3,1,15,18787689
4985,1,3,3,2,22,24349932
755,4,2,2,0,16,4807402
2338,2,3,3,2,7,13606727
2444,5,2,3,0,18,13730808
509,2,2,3,3,19,4367901
3371,4,3,2,3,14,18512515
1297,2,1,2,0,8,6832509
1515,2,1,3,1,19,8478092
2324,4,4,3,0,9,13637931
4969,2,1,2,0,11,23709925
3636,3,4,1,1,30,18510862
2693,3,1,3,3,20,14697951
723,2,1,1,2,22,3769937
4658,5,2,3,0,19,23847568
4425,4,4,1,1,29,21767756
4500,3,1,1,0,0,23451898
2133,5,4,1,1,24,12748563
2652,2,2,2,2,19,13391029
1010,5,2,1,2,8,7821281
884,1,4,1,3,21,5666553
904,3,2,1,1,14,5996372
2500,2,3,3,1,0,14010001
3256,4,3,1,3,11,17489836
2168,2,2,3,3,2,12460073
1960,4,3,1,1,10,10980154
4136,2,1,1,3,1,20956137
3224,5,4,2,2,15,17792147
4678,5,1,3,0,8,23431025
2548,5,4,1,2,14,14948823
4646,1,2,3,3,11,22676939
1216,4,1,3,1,0,8676817
2323,5,2,2,1,12,13139397
2581,1,2,2,2,13,12713229
3919,4,4,2,1,24,20541560
2074,2,4,2,3,24,11668609
749,1,4,2,2,7,5990263
1173,3,1,2,1,7,7290484
2665,1,3,2,0,26,12646961
1270,1,4,2,0,29,6585219
4462,4,4,1,3,11,23135979
4863,2,1,3,1,0,24800523
2484,3,4,2,3,10,15083794
1577,5,1,2,2,7,10568623
735,5,2,3,0,9,6299569
888,1,4,1,2,29,5130572
3537,4,4,3,1,18,19545685
2348,4,2,3,3,10,13194402
3314,5,2,2,3,6,19420256
3874,3,2,3,3,10,19353306
3778,2,4,3,2,30,19113303
1752,3,3,2,0,16,10630641
4481,2,3,2,2,0,22917968
2622,5,3,2,2,25,14508768
2650,2,4,2,1,28,13698830
1829,4,2,3,1,20,11486441
1858,1,4,3,1,20,9900466
2982,1,2,1,0,7,14043522
2517,5,4,1,0,22,13804612
1831,4,4,3,1,23,10328243
4844,3,2,1,1,5,24451879
4761,4,3,3,0,21,23612458
1858,1,2,1,3,17,9261830
3677,1,1,2,0,5,18026311
2628,4,1,1,0,4,13817545
2680,4,2,2,0,12,14779545
637,1,4,2,1,18,3887456
3972,3,1,2,3,21,19938360
3332,5,1,2,0,7,17879953
4079,5,4,1,1,8,21951210
3531,4,4,3,2,16,19384947
4664,5,3,2,2,2,24394619
3093,1,4,1,0,18,15082500
4800,1,2,2,2,10,22989165
4318,4,2,1,3,23,20826284
4638,4,3,1,2,16,23115462
4323,4,1,1,2,20,21048877
4542,3,1,3,3,18,22135354
2406,5,4,1,0,1,13465943
1260,4,2,1,0,30,7308194
3945,2,1,3,3,7,19836455
1399,2,3,3,3,18,7408525
4955,1,3,1,3,6,25324981
3447,5,2,3,2,27,18707196
2219,4,3,2,3,26,12271009
780,2,3,2,1,16,4838751
3766,5,2,3,2,5,20933596
2387,1,4,3,0,18,12452663
3766,3,4,1,0,23,18953045
1166,5,3,3,0,5,8602190
4688,5,4,1,2,27,24419886
1171,3,4,2,1,1,8407769
2469,5,3,3,3,5,15765883
4656,1,4,1,3,22,21983530
3622,1,3,1,0,4,19153072
4400,3,1,2,0,18,21357762
1023,4,2,3,2,19,8610616
2893,2,2,2,1,3,15547301
3617,4,4,1,3,21,18830768
3093,5,4,1,2,25,17218190
2468,2,4,3,3,16,14266289
2253,3,2,1,0,10,12075162
2796,3,1,3,3,3,15722196
2761,2,1,2,1,25,13360364
2786,1,2,3,1,12,13460159
4702,2,1,3,0,19,21581571
3378,5,2,1,1,25,16808892
4643,1,1,1,1,16,21307271
4144,3,3,3,2,8,21606414
4932,2,3,1,3,3,24281215
2555,4,2,1,0,22,13425157
1776,4,1,1,0,27,9048522
3266,5,4,3,0,13,18466464
802,4,1,1,0,18,4890005
1138,2,3,3,0,25,6256886
555,2,3,1,1,27,2971834
1025,4,1,2,2,2,7979370
4623,2,1,1,0,13,21236754
2625,5,4,1,2,7,15792195
3787,1,4,3,2,23,19567505
864,5,1,3,1,26,5821871
2146,5,1,1,0,27,11502351
1418,2,1,2,1,0,8595355
3297,1,1,1,0,9,15547234
2031,2,2,1,1,17,10449674
3845,3,1,2,2,15,18990047
2406,2,4,3,0,7,13509388
3586,2,3,1,3,0,18602943
2575,2,2,3,2,30,12668229
1213,1,1,3,3,11,6650887
1562,2,3,2,2,7,9956828
2476,1,2,2,1,23,10857251
1796,4,3,3,0,15,11097527
625,3,1,1,2,17,4355793
4096,1,1,3,1,3,20120008
3783,4,4,1,0,5,20710749
2103,1,1,1,0,11,9765438
566,1,1,2,2,26,2904717
732,3,2,1,0,8,4295729
2656,5,4,1,2,14,15234342
1669,5,2,3,0,15,10813368
2658,1,3,2,3,23,12566419
4706,2,1,1,1,11,22331872
1993,4,3,1,3,30,10619741
4507,2,2,2,2,23,21421007
2972,2,1,3,3,22,14395161
3160,1,1,2,2,13,14541402
3239,1,2,2,0,12,15758502
2261,1,2,1,0,24,10229702
4014,1,2,1,2,30,18479315
2475,5,2,3,3,1,15719719
2862,1,2,1,0,2,14781629
1376,5,1,1,1,25,7913743
4312,5,2,2,0,23,22223311
3948,1,1,1,1,29,16913113
1812,3,1,3,3,21,10443480
1960,4,2,2,1,9,11734695
3209,2,2,3,1,8,16647046
2824,5,4,2,1,25,15885366
2233,4,1,1,1,19,11103131
2105,3,2,2,0,7,11039127
3063,2,2,2,1,9,16423414
3921,2,2,1,0,18,18420139
4017,5,4,1,1,2,21955003
2897,1,4,3,2,23,14180345
4235,3,3,3,3,4,21786611
3370,5,1,1,1,2,18040841
1660,3,3,1,2,25,8934206
742,1,2,1,1,26,3489867
3090,1,4,2,1,15,15653577
1563,5,4,2,1,16,11728231
4824,1,3,2,2,14,23128710
3095,4,4,1,3,2,18597470
1419,2,2,3,2,11,9311512
505,5,4,1,3,8,6649312
967,3,3,2,1,20,6213937
4670,4,2,2,0,11,22729264
503,5,3,1,1,25,4857472
1145,1,4,1,3,14,7531906
617,1,3,2,2,1,5955344
3428,1,3,2,1,22,15921021
3051,1,1,2,2,30,13617737
4789,3,4,1,2,17,23503568
1346,4,4,2,2,19,8755261
3262,2,3,2,1,11,17036194
1641,3,1,3,2,22,8644848
2310,3,4,1,2,3,13177864
1223,2,2,3,1,22,7221998
724,2,3,3,2,15,5718369
4708,1,4,2,1,22,22681006
2548,3,2,1,3,15,13154556
4915,5,4,2,3,0,27454012
2073,2,2,1,3,21,10570745
2328,2,3,3,2,24,13406095
2417,4,4,1,0,1,14352083
4734,5,4,2,0,29,22691326
2526,5,1,2,2,2,13528062
4244,2,3,2,0,25,20484975
1401,1,2,1,1,20,7434747
2539,4,4,3,0,24,13663586
509,5,4,3,2,19,7055989
760,2,2,1,2,16,5581499
2173,5,3,2,1,19,12818773
2719,4,1,3,3,21,14790227
2560,4,1,2,2,20,13877265
4213,3,4,1,1,29,21488497
2119,2,2,2,0,28,10436568
820,4,4,3,0,0,7733966
1842,3,2,3,1,19,10560151
2876,3,1,2,1,5,15315680
3332,5,3,1,2,28,17826205
3324,5,2,2,0,14,16852988
2494,3,1,1,1,25,12135927
3458,5,4,2,0,25,18566220
2538,4,2,3,1,13,14099576
3990,1,3,1,0,19,19052083
4177,4,4,1,3,14,22977084
1618,3,4,1,2,13,9995109
2104,3,1,3,0,24,10943861
4527,4,2,2,3,20,23614632
735,5,4,3,0,23,6523282
2469,5,3,1,0,24,12896268
4929,3,2,2,3,25,24203389
2408,2,3,3,0,4,12215167
875,5,4,1,0,5,6413316
4030,4,3,1,2,16,20881506
3135,5,1,3,3,10,16275015
2070,4,3,3,3,15,11972416
3060,3,2,3,1,11,15954951
3891,5,3,1,0,14,19928792
3465,4,3,3,2,22,18268597
4143,3,1,1,0,3,20984935
4350,2,3,3,0,26,20964240
1372,4,3,1,1,17,8099340
1752,2,4,1,0,20,10011221
1814,2,4,2,2,27,9123571
3398,1,2,3,2,2,17551942
577,5,4,3,1,21,5251457
3121,4,4,1,0,7,17235659
4727,2,4,1,2,22,22812186
1100,1,4,1,0,2,7481119
1565,3,1,2,0,7,9217845
2636,4,4,2,0,17,14333430
2949,2,1,1,1,9,14066030
2843,5,1,3,0,24,14665952
2363,1,4,3,2,19,13486286
1818,2,3,2,0,16,10560534
4097,5,1,2,2,7,21027366
4262,2,3,1,0,22,20569113
2690,4,3,3,2,10,14649284
1492,4,4,1,2,28,8760329
3212,4,2,2,0,4,16770218
2692,1,4,3,0,25,13873640
1748,4,2,3,2,12,10170641
3554,5,2,2,3,20,19097675
4533,2,4,1,1,22,21918855
2497,3,4,1,3,4,14468776
4187,5,2,3,3,23,22652291
2651,5,4,2,0,26,15529349
4518,4,2,3,1,12,23028804
3610,1,3,2,3,5,18337042
2470,2,4,1,0,28,11371563
697,1,3,2,3,4,5454371
3126,2,1,1,3,8,16643652
1702,2,3,2,0,26,8614632
2535,1,3,3,0,15,13196880
977,5,2,1,0,1,6842751
1754,2,3,3,1,0,10555613
1422,1,4,3,3,7,9385233
919,2,2,1,0,27,4553431
2704,3,1,1,2,18,13900334
3097,5,4,3,3,29,16980164
1620,4,1,3,2,10,9125006
3568,2,3,3,1,27,18012045
